0.02	4
0.58	1
1.1	2
1.66	3
2.22	4
2.78	1
3.33	2
3.88	3
4.44	4
5.01	1
5.55	2
6.1	3
6.67	4
7.24	1
7.77	2
8.32	3
8.88	4
9.42	1
9.97	2
10.53	3
11.09	4
11.67	1
12.21	2
12.76	3
13.32	4
13.9	1
14.44	2
14.99	3
15.54	4
16.12	1
16.65	2
17.2	3
17.75	4
18.3	1
18.85	2
19.43	3
19.98	4
20.54	1
21.09	2
21.65	3
22.21	4
22.77	1
23.31	2
23.87	3
24.42	4
25.0	1
25.54	2
26.11	3
26.66	4
27.23	1
27.75	2
28.32	3
28.87	4
29.44	1
29.99	2
30.56	3
31.1	4
31.64	1
32.22	2
32.76	3
33.32	4
33.9	1
34.44	2
34.99	3
35.55	4
36.1	1
36.65	2
37.21	3
37.76	4
38.31	1
38.86	2
39.43	3
39.98	4
40.55	1
41.08	2
41.65	3
42.21	4
42.76	1
43.32	2
43.87	3
44.43	4
45.01	1
45.54	2
46.1	3
46.66	4
47.21	1
47.75	2
48.31	3
48.86	4
49.43	1
49.97	2
50.54	3
51.09	4
51.67	1
52.21	2
52.78	3
53.32	4
53.86	1
54.42	2
54.98	3
55.55	4
56.1	1
56.66	2
57.22	3
57.76	4
58.32	1
58.87	2
59.42	3
59.98	4
60.54	1
61.09	2
61.65	3
62.19	4
62.74	1
63.3	2
63.86	3
64.43	4
64.97	1
65.52	2
66.11	3
66.67	4
67.21	1
67.76	2
68.32	3
68.9	4
69.44	1
70.03	2
70.56	3
71.13	4
71.69	1
72.21	2
72.77	3
73.32	4
73.89	1
74.41	2
74.97	3
75.53	4
76.1	1
76.64	2
77.21	3
77.75	4
78.31	1
78.88	2
79.42	3
80.0	4
80.57	1
81.11	2
81.67	3
82.22	4
82.77	1
83.31	2
83.87	3
84.43	4
85.02	1
85.55	2
86.11	3
86.65	4
87.23	1
87.77	2
88.31	3
88.86	4
89.4	1
89.97	2
90.53	3
91.08	4
91.64	1
92.19	2
92.74	3
93.3	4
93.87	1
94.43	2
94.98	3
95.54	4
96.11	1
96.66	2
97.23	3
97.79	4
98.35	1
98.89	2
99.46	3
100.0	4
100.57	1
101.11	2
101.67	3
102.21	4
102.76	1
103.32	2
103.88	3
104.44	4
105.0	1
105.54	2
106.1	3
106.66	4
107.23	1
107.77	2
108.33	3
108.88	4
109.46	1
109.99	2
110.55	3
111.09	4
111.64	1
112.2	2
112.75	3
113.33	4
113.9	1
114.43	2
115.0	3
115.56	4
116.1	1
116.65	2
117.23	3
117.76	4
118.33	1
118.87	2
119.42	3
119.98	4
120.56	1
121.1	2
121.66	3
122.22	4
122.76	1
123.32	2
123.87	3
124.43	4
125.0	1
125.54	2
126.1	3
126.66	4
127.22	1
127.75	2
128.31	3
128.87	4
129.42	1
129.98	2
130.54	3
131.09	4
131.66	1
132.22	2
132.78	3
133.33	4
133.87	1
134.44	2
134.98	3
135.54	4
136.08	1
136.66	2
137.21	3
137.77	4
138.31	1
138.87	2
139.43	3
139.98	4
140.54	1
141.08	2
141.65	3
142.19	4
142.74	1
143.29	2
143.85	3
144.42	4
144.97	1
145.51	2
146.08	3
146.65	4
147.19	1
147.76	2
148.32	3
148.88	4
149.45	1
150.01	2
150.54	3
151.1	4
151.63	1
152.21	2
152.76	3
153.31	4
153.88	1
154.42	2
154.98	3
155.53	4
156.09	1
156.64	2
157.2	3
157.76	4
158.32	1
158.85	2
159.42	3
159.97	4
160.52	1
161.09	2
161.65	3
162.2	4
162.76	1
163.31	2
163.87	3
164.42	4
164.98	1
165.52	2
166.08	3
166.64	4
167.2	1
167.75	2
168.32	3
168.88	4
169.42	1
169.98	2
170.53	3
171.09	4
171.65	1
172.2	2
172.76	3
173.32	4
173.88	1
174.41	2
174.97	3
175.52	4
176.1	1
176.64	2
177.21	3
177.75	4
178.31	1
178.85	2
179.42	3
179.97	4
180.53	1
181.08	2
181.64	3
182.19	4
182.75	1
183.31	2
183.86	3
184.43	4
185.0	1
185.53	2
186.09	3
186.65	4
187.19	1
187.76	2
188.31	3
188.88	4
189.42	1
190.01	2
190.54	3
191.1	4
191.67	1
192.22	2
192.76	3
193.31	4
193.87	1
194.41	2
194.98	3
195.53	4
196.1	1
196.63	2
197.19	3
197.75	4
198.34	1
198.9	2
199.45	3
200.01	4
200.54	1
201.08	2
201.64	3
202.19	4
202.8	1
203.37	2
203.98	3
204.57	4
205.17	1
205.77	2
206.39	3
206.99	4
207.63	1
208.24	2
208.85	3
209.43	4
210.07	1
210.65	2
211.26	3
211.9	4
